Assay Name	Source Name	COSMIC_ID	cell_line_name
5500994158987071513202_G11	J132_EPG11P4_MONO-MAC-6_Blood_908148	908148	MONO-MAC-6
5500994158987071513202_G12	J132_EPG12P4_MEL-HO_Skin_908124	908124	MEL-HO
5500994158987071513202_H01	J132_EPH01P4_KYSE-150_Esophagus_907317	907317	KYSE-150
5500994158987071513202_H02	J132_EPH02P4_KARPAS-620_Blood_1327775	1327775	KARPAS-620
5500994158987071513202_H03	J132_EPH03P4_KGN_Ovary_924186	924186	KGN
5500994158987071513202_H04	J132_EPH04P4_LC4-1_Blood_907787	907787	LC4-1
5500994158987071513202_H05	J132_EPH05P4_LU-165_Lung_753589	753589	LU-165
5500994158987071513202_H06	J132_EPH06P4_LS-1034_Intestine_917486	917486	LS-1034
5500994158987071513202_H07	J132_EPH07P4_LOUCY_Blood_907789	907789	LOUCY
5500994158987071513202_H08	J132_EPH08P4_GB-1_CNS_687568	687568	GB-1
5500994158987071513202_H09	J132_EPH09P4_GT3TKB_Stomach_907041	907041	GT3TKB
5500994158987071513202_H10	J132_EPH10P4_MKN7_Stomach_924250	924250	MKN7
5500994158987071513202_H11	J132_EPH11P4_Mo-T_Blood_908149	908149	Mo-T
5500994158987071513202_H12	J132_EPH12P4_MEC-1_Blood_1330943	1330943	MEC-1
5500994158987071513207_A01	J132_EPA01P5_MS751_Cervix_1240179	1240179	MS751
5500994158987071513207_A02	J132_EPA02P5_MZ7-mel_Skin_753596	753596	MZ7-mel
5500994158987071513207_A03	J132_EPA03P5_MDST8_Intestine_1240173	1240173	MDST8
5500994158987071513207_A04	J132_EPA04P5_U-118-MG_Brain_687588	687588	U-118-MG
5500994158987071513207_A05	J132_EPA05P5_WM1552C_Skin_1299078	1299078	WM1552C
5500994158987071513207_A06	J132_EPA06P5_YH-13_CNS_909905	909905	YH-13
5500994158987071513207_A07	J132_EPA07P5_TE-1_Esophagus_753621	753621	TE-1
5500994158987071513207_A08	J132_EPA08P5_TE-8_Esophagus_753623	753623	TE-8
5500994158987071513207_A09	J132_EPA09P5_SiHa_Cervix_930297	930297	SiHa
5500994158987071513207_A10	J132_EPA10P5_SCC-9_Head & Neck_909709	909709	SCC-9
5500994158987071513207_A11	J132_EPA11P5_SNU-182_Liver_1240216	1240216	SNU-182
5500994158987071513207_A12	J132_EPA12P5_SK-N-SH_Brain_717431	717431	SK-N-SH
5500994158987071513207_B01	J132_EPB01P5_MS-1_Lung_753594	753594	MS-1
5500994158987071513207_B02	J132_EPB02P5_MZ2-MEL_Skin_971777	971777	MZ2-MEL
5500994158987071513207_B03	J132_EPB03P5_MOLM-13_Blood_1330947	1330947	MOLM-13
5500994158987071513207_B04	J132_EPB04P5_U-698-M_Blood_909777	909777	U-698-M
5500994158987071513207_B05	J132_EPB05P5_WM793B_Skin_1299081	1299081	WM793B
5500994158987071513207_B06	J132_EPB06P5_YAPC_Pancreas_909904	909904	YAPC
5500994158987071513207_B07	J132_EPB07P5_TE-10_Esophagus_753622	753622	TE-10
5500994158987071513207_B08	J132_EPB08P5_TE-9_Esophagus_946353	946353	TE-9
5500994158987071513207_B09	J132_EPB09P5_SLVL_Blood_1331032	1331032	SLVL
5500994158987071513207_B10	J132_EPB10P5_SNU-449_Liver_909738	909738	SNU-449
5500994158987071513207_B11	J132_EPB11P5_SW780_Bladder_687457	687457	SW780
5500994158987071513207_B12	J132_EPB12P5_SK-N-FI_Brain_688087	688087	SK-N-FI
5500994158987071513207_C01	J132_EPC01P5_MV-4-11_Blood_908156	908156	MV-4-11
5500994158987071513207_C02	J132_EPC02P5_MZ1-PC_Pancreas_753595	753595	MZ1-PC
